epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.943,2.491,2.29721,2.10962,0.71255,0.6062,0.67711,0.43496,2.28791,1.57647,2.05074,0.0700401,0.00332888,0.00332888
2,359.703,2.44764,1.76887,2.08,0.74324,0.58609,0.68142,0.44029,2.33317,1.52251,2.10266,0.0400385,0.00666058,0.00666058
3,530.401,2.57556,1.86615,2.12943,0.73702,0.54353,0.62049,0.38338,2.5276,1.75189,2.1974,0.0100303,0.00998578,0.00998578
4,699.434,2.63666,1.89894,2.16106,0.67626,0.58079,0.63627,0.38398,2.4649,1.67707,2.1829,0.00997803,0.00997803,0.00997803
5,867.785,2.54921,1.8011,2.13863,0.766,0.59666,0.6867,0.43723,2.31488,1.51012,2.11071,0.00996097,0.00996097,0.00996097
6,1037.46,2.45394,1.66759,2.10409,0.76128,0.63184,0.70693,0.46183,2.23844,1.44563,2.08907,0.00993906,0.00993906,0.00993906
7,1206.98,2.39549,1.60628,2.08582,0.80173,0.64096,0.73726,0.49236,2.18052,1.38205,2.07742,0.00991232,0.00991232,0.00991232
8,1375.99,2.33605,1.54082,2.06125,0.74502,0.67058,0.73926,0.49206,2.10498,1.37187,2.05185,0.00988079,0.00988079,0.00988079
9,1545.2,2.27267,1.47979,2.03592,0.77457,0.69007,0.76408,0.50604,2.09923,1.31408,2.04268,0.00984449,0.00984449,0.00984449
10,1714.68,2.24424,1.43397,2.02339,0.80814,0.6902,0.78462,0.52631,2.07801,1.2661,2.02625,0.00980345,0.00980345,0.00980345
11,1882.87,2.20108,1.39493,2.00795,0.79483,0.71221,0.79707,0.54978,2.01187,1.21766,2.01177,0.00975773,0.00975773,0.00975773
12,2051.81,2.16058,1.37344,1.99547,0.82279,0.73205,0.81265,0.56226,1.98555,1.19235,1.98717,0.00970736,0.00970736,0.00970736
13,2221.22,2.12492,1.3295,1.99062,0.81284,0.75491,0.8316,0.57871,1.95379,1.16108,1.99246,0.00965239,0.00965239,0.00965239
