epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.231,2.49213,2.29176,2.1062,0.67273,0.64959,0.68857,0.44736,2.27026,1.53995,2.06957,0.0700401,0.00332888,0.00332888
2,355.854,2.44897,1.77366,2.06959,0.70718,0.61111,0.68025,0.43976,2.29959,1.54897,2.0696,0.0400336,0.0066557,0.0066557
3,525.012,2.57227,1.83889,2.12426,0.67945,0.54154,0.62094,0.3787,2.48866,1.73815,2.16807,0.0100011,0.00995653,0.00995653
4,693.534,2.6246,1.89249,2.15683,0.68967,0.61103,0.66286,0.40572,2.39758,1.69015,2.14657,0.00991232,0.00991232,0.00991232
5,860.726,2.53446,1.7554,2.12943,0.74007,0.61383,0.69774,0.44169,2.28971,1.54638,2.11583,0.00984449,0.00984449,0.00984449
6,1029.64,2.44461,1.65498,2.09752,0.74963,0.62887,0.70841,0.45785,2.25925,1.45229,2.10013,0.00975773,0.00975773,0.00975773
7,1197.44,2.37853,1.58722,2.07682,0.78968,0.62707,0.73211,0.48493,2.16046,1.39384,2.05696,0.00965239,0.00965239,0.00965239
8,1365.14,2.32516,1.53173,2.05327,0.80125,0.66906,0.76567,0.5148,2.10744,1.30628,2.04219,0.00952889,0.00952889,0.00952889
9,1534.06,2.26033,1.47177,2.03161,0.82167,0.68823,0.78709,0.5276,2.08299,1.30407,2.02948,0.00938772,0.00938772,0.00938772
10,1702.98,2.21846,1.40961,2.0079,0.79783,0.70198,0.78463,0.53611,2.04195,1.24643,2.00558,0.00922942,0.00922942,0.00922942
11,1871.02,2.18048,1.37577,1.99505,0.80545,0.73903,0.81143,0.5605,1.98893,1.20153,1.98775,0.00905463,0.00905463,0.00905463
12,2038.75,2.13445,1.34671,1.98175,0.82356,0.7121,0.81829,0.55827,1.98308,1.18667,1.98485,0.00886404,0.00886404,0.00886404
13,2207.36,2.09775,1.30212,1.97144,0.83509,0.7293,0.82202,0.57549,1.93627,1.14851,1.97319,0.00865839,0.00865839,0.00865839
14,2375.3,2.0556,1.26469,1.95693,0.87117,0.72712,0.83701,0.58708,1.91634,1.11349,1.96167,0.00843851,0.00843851,0.00843851
15,2543.12,2.02568,1.23285,1.94076,0.86854,0.73976,0.83773,0.59189,1.91366,1.12993,1.95613,0.00820525,0.00820525,0.00820525
16,2711.4,1.9945,1.20368,1.933,0.85345,0.78021,0.86365,0.61172,1.86632,1.05467,1.94788,0.00795954,0.00795954,0.00795954
17,2880,1.95799,1.17163,1.92068,0.87353,0.80418,0.87958,0.63072,1.81234,1.00287,1.93244,0.00770234,0.00770234,0.00770234
18,3047.75,1.94356,1.14983,1.92054,0.8739,0.78933,0.87515,0.62834,1.82245,1.01402,1.93587,0.00743468,0.00743468,0.00743468
19,3216.46,1.91134,1.13378,1.89967,0.87117,0.7972,0.88137,0.6408,1.77322,0.99166,1.91641,0.00715761,0.00715761,0.00715761
20,3385.28,1.87397,1.0902,1.89143,0.88482,0.80117,0.88729,0.63348,1.77938,0.96866,1.92552,0.00687222,0.00687222,0.00687222
21,3553.3,1.85239,1.06567,1.88084,0.87646,0.81401,0.88751,0.64676,1.72214,0.95902,1.89648,0.00657963,0.00657963,0.00657963
22,3721.89,1.82444,1.06073,1.87124,0.89414,0.81494,0.8959,0.66042,1.70463,0.95058,1.88371,0.00628101,0.00628101,0.00628101
23,3891.95,1.81034,1.03985,1.86887,0.88545,0.83089,0.89972,0.66455,1.6854,0.90855,1.88811,0.00597754,0.00597754,0.00597754
24,4060.53,1.76983,1.00431,1.84957,0.88307,0.82443,0.89483,0.66534,1.68142,0.91393,1.87855,0.0056704,0.0056704,0.0056704
25,4229.2,1.74181,0.98675,1.84054,0.89222,0.83082,0.90361,0.67268,1.64729,0.87747,1.87069,0.00536081,0.00536081,0.00536081
26,4398,1.72348,0.97678,1.83953,0.89176,0.83338,0.9066,0.67444,1.62558,0.86814,1.85947,0.00505,0.00505,0.00505
27,4567.32,1.69152,0.95151,1.82616,0.9124,0.84532,0.91456,0.68566,1.62111,0.85041,1.86264,0.00473919,0.00473919,0.00473919
28,4735.88,1.65707,0.92314,1.81909,0.89167,0.83242,0.90877,0.68393,1.60003,0.8599,1.84889,0.0044296,0.0044296,0.0044296
29,4904.4,1.6436,0.91845,1.81215,0.91777,0.83449,0.91877,0.69661,1.57934,0.83015,1.84593,0.00412246,0.00412246,0.00412246
30,5073.29,1.60971,0.88847,1.80697,0.92129,0.85437,0.91658,0.70039,1.56153,0.81896,1.84062,0.00381899,0.00381899,0.00381899
31,5241.67,1.58384,0.86926,1.7982,0.91942,0.85703,0.92335,0.70355,1.55753,0.80831,1.83549,0.00352037,0.00352037,0.00352037
32,5408.75,1.5786,0.87026,1.79151,0.9109,0.85085,0.92448,0.70806,1.51668,0.79225,1.8239,0.00322778,0.00322778,0.00322778
33,5577.72,1.55465,0.84941,1.78257,0.91571,0.86027,0.92647,0.71681,1.5016,0.78385,1.82186,0.00294239,0.00294239,0.00294239
34,5746.43,1.52494,0.82812,1.77261,0.91798,0.86367,0.9244,0.71492,1.48983,0.76461,1.81588,0.00266532,0.00266532,0.00266532
35,5915,1.50507,0.80924,1.7615,0.89894,0.88015,0.92953,0.72696,1.46856,0.75981,1.81011,0.00239766,0.00239766,0.00239766
36,6083.63,1.47993,0.79314,1.7585,0.91817,0.8686,0.93147,0.72516,1.46013,0.74877,1.80299,0.00214046,0.00214046,0.00214046
37,6252.9,1.46511,0.78465,1.75601,0.92073,0.86916,0.92894,0.72388,1.46545,0.73588,1.8103,0.00189475,0.00189475,0.00189475
38,6421.75,1.44251,0.77109,1.75161,0.93031,0.86488,0.9336,0.73069,1.44911,0.73018,1.79894,0.00166149,0.00166149,0.00166149
39,6591.05,1.42201,0.75788,1.74346,0.92008,0.87497,0.93554,0.7357,1.42816,0.72882,1.79686,0.00144161,0.00144161,0.00144161
40,6760.23,1.40054,0.74724,1.73894,0.90538,0.88417,0.9317,0.73377,1.42038,0.72116,1.79579,0.00123596,0.00123596,0.00123596
41,6938.96,1.33157,0.67443,1.71296,0.91345,0.87641,0.92573,0.73055,1.43944,0.73114,1.80153,0.00104537,0.00104537,0.00104537
42,7106.91,1.30574,0.65799,1.70497,0.92402,0.87928,0.93119,0.73563,1.42427,0.72059,1.79444,0.000870577,0.000870577,0.000870577
43,7275.47,1.28634,0.65184,1.70118,0.90811,0.89428,0.93728,0.73863,1.41642,0.71987,1.79175,0.000712282,0.000712282,0.000712282
