epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.108,1.20521,0.97782,1.05739,0.61841,0.57997,0.61174,0.38419,1.10385,0.80327,1.04099,0.0667667,3.33E-05,3.33E-05
2,313.299,1.10443,0.7682,1.01568,0.73188,0.60054,0.68891,0.44988,1.0416,0.71269,1.00396,0.0334601,5.99E-05,5.99E-05
3,444.16,1.05004,0.70843,0.99181,0.78408,0.60876,0.71281,0.47131,1.01735,0.67061,1.00388,0.000146747,7.99E-05,7.99E-05
4,576.168,1.01165,0.66762,0.97879,0.79643,0.65151,0.75375,0.50204,0.97031,0.63968,0.9837,7.00E-05,7.00E-05,7.00E-05
5,709.883,0.98256,0.63577,0.96574,0.79008,0.68061,0.77074,0.52618,0.95107,0.61857,0.97349,6.00E-05,6.00E-05,6.00E-05
6,844.288,0.95928,0.60952,0.95566,0.82926,0.70346,0.79569,0.53865,0.95659,0.59251,0.97791,5.00E-05,5.00E-05,5.00E-05
7,979.89,0.93768,0.58592,0.94966,0.8191,0.71254,0.80083,0.55892,0.91465,0.57925,0.96317,4.00E-05,4.00E-05,4.00E-05
8,1113.97,0.92162,0.56816,0.9439,0.84097,0.72458,0.81765,0.56869,0.90743,0.55844,0.95965,3.00E-05,3.00E-05,3.00E-05
9,1247.84,0.89594,0.55023,0.93244,0.89157,0.71311,0.83219,0.58396,0.89518,0.53852,0.95212,2.00E-05,2.00E-05,2.00E-05
10,1381.78,0.88537,0.53718,0.9274,0.87753,0.73177,0.83427,0.587,0.88485,0.5331,0.95038,1.00E-05,1.00E-05,1.00E-05
11,159.655,0.95484,0.61444,0.95199,0.81206,0.67848,0.77991,0.5254,0.99191,0.63947,0.97914,0.0667667,3.33E-05,3.33E-05
12,290.312,0.94137,0.59706,0.94556,0.8454,0.72048,0.8073,0.55863,0.93664,0.59675,0.97262,0.0334534,5.33E-05,5.33E-05
13,420.243,0.91439,0.57219,0.9383,0.8337,0.75072,0.83189,0.5762,0.93127,0.56649,0.96522,0.000126761,6.00E-05,6.00E-05
14,553.423,0.88828,0.54476,0.93176,0.84447,0.7579,0.838,0.58317,0.89561,0.54355,0.95115,4.00E-05,4.00E-05,4.00E-05
15,682.798,0.86646,0.5232,0.92057,0.86922,0.76467,0.85882,0.60488,0.86571,0.5179,0.94314,2.00E-05,2.00E-05,2.00E-05
16,156.143,0.89634,0.5672,0.93052,0.82928,0.73462,0.82053,0.55778,0.95833,0.59203,0.96632,0.0667667,3.33E-05,3.33E-05
17,286.758,0.86443,0.54003,0.91942,0.86211,0.73157,0.82739,0.57222,0.92041,0.5758,0.96804,0.0334534,5.33E-05,5.33E-05
18,415.494,0.83583,0.5141,0.91121,0.8789,0.75945,0.84953,0.58619,0.92267,0.55523,0.9587,0.000126761,6.00E-05,6.00E-05
19,544.222,0.82349,0.50069,0.90868,0.84879,0.75525,0.85022,0.59948,0.86996,0.53448,0.94488,4.00E-05,4.00E-05,4.00E-05
20,673.063,0.82133,0.49067,0.90539,0.86712,0.77543,0.85946,0.60946,0.85691,0.51473,0.94258,2.00E-05,2.00E-05,2.00E-05
