epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.422,1.1473,1.17902,1.05291,0.7946,0.61591,0.71847,0.47679,1.00972,0.68628,0.98725,0.07012,0.00332,0.00332
2,383.64,1.04345,0.72626,0.99248,0.79498,0.65139,0.75707,0.49416,1.04323,0.68927,0.96057,0.0401184,0.00665171,0.00665171
3,546.376,1.09286,0.7632,1.01245,0.81918,0.65361,0.75954,0.49047,1.05424,0.76017,1.02349,0.0101102,0.00997691,0.00997691
4,707.561,1.09169,0.75174,1.02637,0.80668,0.64806,0.74024,0.48293,1.03331,0.68317,1.01969,0.00997803,0.00997803,0.00997803
5,868.152,1.04984,0.70482,1.00936,0.76245,0.69129,0.76224,0.49328,1.01419,0.66685,1.01599,0.00996097,0.00996097,0.00996097
6,1029.33,1.02364,0.6693,0.99901,0.80413,0.72408,0.80814,0.54691,0.96208,0.63602,0.98716,0.00993906,0.00993906,0.00993906
7,1191.33,0.99432,0.64655,0.98971,0.80842,0.72931,0.80467,0.54584,0.96053,0.61813,0.99755,0.00991232,0.00991232,0.00991232
8,1353.31,0.97416,0.63171,0.98461,0.8919,0.74343,0.84457,0.58242,0.92457,0.5766,0.99268,0.00988079,0.00988079,0.00988079
9,1515.3,0.95284,0.60677,0.97722,0.84263,0.77498,0.84371,0.5787,0.90713,0.56234,0.97498,0.00984449,0.00984449,0.00984449
10,1676.93,0.93377,0.58936,0.96855,0.84705,0.79652,0.85582,0.58113,0.90714,0.5621,0.97788,0.00980345,0.00980345,0.00980345
11,1838.5,0.91665,0.57588,0.96302,0.8464,0.77638,0.85253,0.59361,0.87758,0.54648,0.96712,0.00975773,0.00975773,0.00975773
12,2000.1,0.89827,0.56402,0.9588,0.8811,0.78641,0.86784,0.60943,0.87629,0.52827,0.96483,0.00970736,0.00970736,0.00970736
13,2161.58,0.88977,0.54824,0.95516,0.87224,0.80733,0.87262,0.61299,0.86147,0.52291,0.95856,0.00965239,0.00965239,0.00965239
14,2323.15,0.87052,0.54069,0.94533,0.86709,0.82237,0.88483,0.6189,0.86183,0.51156,0.96081,0.00959289,0.00959289,0.00959289
15,2484.33,0.86692,0.53753,0.9457,0.88401,0.8153,0.88641,0.64124,0.84226,0.49983,0.95252,0.00952889,0.00952889,0.00952889
16,2646.43,0.85116,0.52036,0.93779,0.86912,0.83073,0.89455,0.64541,0.83391,0.49343,0.95216,0.00946048,0.00946048,0.00946048
17,2807.72,0.83524,0.51166,0.93462,0.92034,0.80779,0.89753,0.65234,0.81303,0.47594,0.9442,0.00938772,0.00938772,0.00938772
18,2968.78,0.82965,0.50912,0.93157,0.89919,0.83664,0.90376,0.65657,0.80447,0.4815,0.93827,0.00931067,0.00931067,0.00931067
19,3129.38,0.81292,0.49539,0.92912,0.91835,0.84616,0.91528,0.66572,0.79594,0.46041,0.94175,0.00922942,0.00922942,0.00922942
20,3290.88,0.80484,0.49265,0.92343,0.90213,0.85043,0.91102,0.66515,0.79888,0.46291,0.93861,0.00914405,0.00914405,0.00914405
21,3451.61,0.7963,0.4849,0.92146,0.91409,0.83844,0.91259,0.67239,0.787,0.45293,0.93844,0.00905463,0.00905463,0.00905463
22,3611.87,0.78921,0.47747,0.91559,0.90763,0.84889,0.9168,0.67795,0.77872,0.44434,0.93333,0.00896127,0.00896127,0.00896127
23,3771.85,0.78097,0.47528,0.9167,0.91452,0.84807,0.91503,0.68016,0.76817,0.4495,0.93038,0.00886404,0.00886404,0.00886404
24,3932.6,0.77547,0.46654,0.91157,0.89127,0.86784,0.92645,0.68522,0.76675,0.43885,0.92754,0.00876305,0.00876305,0.00876305
25,4091.95,0.76166,0.4594,0.90626,0.9167,0.85896,0.92942,0.69335,0.75743,0.43489,0.92216,0.00865839,0.00865839,0.00865839
26,4251.67,0.75494,0.45582,0.90598,0.88739,0.86925,0.91701,0.68165,0.76382,0.43598,0.92701,0.00855018,0.00855018,0.00855018
27,4411.91,0.74772,0.44913,0.90376,0.90614,0.85874,0.91983,0.69669,0.74382,0.4272,0.92074,0.00843851,0.00843851,0.00843851
28,4571.05,0.73728,0.44099,0.89951,0.91647,0.86961,0.92909,0.70573,0.73929,0.41644,0.91669,0.00832349,0.00832349,0.00832349
29,4730.61,0.73282,0.43634,0.89583,0.91724,0.88242,0.93253,0.70841,0.73051,0.41251,0.91393,0.00820525,0.00820525,0.00820525
30,4889.31,0.7216,0.43188,0.89403,0.90182,0.88875,0.93346,0.70873,0.7291,0.41143,0.91479,0.00808389,0.00808389,0.00808389
31,5049.01,0.71435,0.42923,0.89207,0.93494,0.86739,0.93368,0.71584,0.71672,0.40823,0.91153,0.00795954,0.00795954,0.00795954
32,5207.26,0.71261,0.42585,0.8925,0.92983,0.86517,0.93596,0.7142,0.7222,0.40857,0.91278,0.00783231,0.00783231,0.00783231
33,5366.47,0.71125,0.42187,0.8895,0.92472,0.88515,0.9404,0.71982,0.71458,0.39751,0.91345,0.00770234,0.00770234,0.00770234
34,5526.17,0.69888,0.41534,0.88715,0.91951,0.88965,0.9395,0.72201,0.70757,0.39341,0.91055,0.00756976,0.00756976,0.00756976
35,5685.38,0.6901,0.41136,0.8832,0.91703,0.89822,0.94085,0.72325,0.69759,0.39219,0.90297,0.00743468,0.00743468,0.00743468
36,5845.24,0.68675,0.40844,0.8817,0.9148,0.89436,0.93935,0.72408,0.69925,0.39162,0.89967,0.00729725,0.00729725,0.00729725
37,6005.34,0.67987,0.4033,0.88161,0.93553,0.86997,0.94048,0.72583,0.69541,0.38359,0.90139,0.00715761,0.00715761,0.00715761
38,6164.82,0.67501,0.4006,0.87927,0.93105,0.88775,0.94207,0.7295,0.68949,0.37949,0.90107,0.00701588,0.00701588,0.00701588
39,6324.38,0.66594,0.39428,0.87733,0.92908,0.88667,0.94405,0.73451,0.69371,0.38092,0.90292,0.00687222,0.00687222,0.00687222
40,6483.04,0.66035,0.3898,0.87539,0.93385,0.88725,0.94383,0.73542,0.67887,0.37743,0.89747,0.00672675,0.00672675,0.00672675
41,6642.48,0.65768,0.38943,0.87262,0.9256,0.88867,0.94012,0.732,0.67562,0.37675,0.90208,0.00657963,0.00657963,0.00657963
42,6801.84,0.65156,0.38293,0.87278,0.92148,0.88963,0.93946,0.73453,0.67362,0.37256,0.8934,0.00643101,0.00643101,0.00643101
43,6961.48,0.64946,0.38237,0.87159,0.94283,0.88891,0.94495,0.74288,0.67168,0.36833,0.89685,0.00628101,0.00628101,0.00628101
44,7122.02,0.63455,0.37194,0.86971,0.93081,0.89484,0.94652,0.74292,0.66939,0.3661,0.89787,0.00612981,0.00612981,0.00612981
45,7281.56,0.63749,0.37342,0.86746,0.93446,0.90008,0.94729,0.74392,0.65776,0.35927,0.89223,0.00597754,0.00597754,0.00597754
46,7440.64,0.62919,0.36763,0.86324,0.9412,0.89303,0.94741,0.75053,0.65526,0.36051,0.88884,0.00582435,0.00582435,0.00582435
47,7599.52,0.62178,0.36489,0.86225,0.93416,0.90202,0.94919,0.75481,0.64797,0.35661,0.89024,0.0056704,0.0056704,0.0056704
48,7759.35,0.61667,0.3621,0.86167,0.93326,0.89218,0.9465,0.74701,0.6487,0.35745,0.88688,0.00551584,0.00551584,0.00551584
49,7918.06,0.60876,0.35654,0.85923,0.93772,0.89824,0.94915,0.75547,0.64503,0.35226,0.88959,0.00536081,0.00536081,0.00536081
50,8077.85,0.60612,0.35501,0.85679,0.94473,0.89845,0.95141,0.75341,0.65042,0.35483,0.89069,0.00520548,0.00520548,0.00520548
51,8237.06,0.60161,0.34999,0.85602,0.94588,0.89047,0.94756,0.75334,0.64524,0.35499,0.8881,0.00505,0.00505,0.00505
52,8396.67,0.59605,0.34799,0.85363,0.94041,0.89896,0.94964,0.75567,0.64588,0.34845,0.89336,0.00489452,0.00489452,0.00489452
53,8556.48,0.59029,0.34376,0.85369,0.94655,0.89987,0.95251,0.75693,0.6407,0.34901,0.88575,0.00473919,0.00473919,0.00473919
54,8716.8,0.58473,0.34151,0.85295,0.94001,0.90178,0.94949,0.7584,0.63229,0.34612,0.88414,0.00458416,0.00458416,0.00458416
55,8877.38,0.57784,0.33694,0.84987,0.94621,0.88968,0.9496,0.76179,0.63546,0.34672,0.88423,0.0044296,0.0044296,0.0044296
56,9038.5,0.5739,0.33482,0.8489,0.94613,0.89723,0.95429,0.76314,0.62986,0.34302,0.88478,0.00427565,0.00427565,0.00427565
57,9198.42,0.57502,0.33525,0.84998,0.95374,0.9014,0.95432,0.76531,0.6257,0.34078,0.88573,0.00412246,0.00412246,0.00412246
58,9357.82,0.56804,0.33006,0.84733,0.9262,0.92015,0.95657,0.76553,0.62696,0.33867,0.88324,0.00397019,0.00397019,0.00397019
59,9518.51,0.55967,0.32568,0.84485,0.95121,0.89846,0.95155,0.76477,0.62758,0.34109,0.88661,0.00381899,0.00381899,0.00381899
